# slug	topic	seed sources (verify each; add more)
escalation-channels	How coding agents should report blockers instead of finishing: structured defect reports, asking clarifying questions, refusal versus completion, and whether a required NOT DONE channel reduces false completion.	tau-bench arXiv 2406.12045; TheAgentCompany arXiv 2412.14161; search arXiv for "clarifying questions" agents 2024-2026 and "ask for help" LLM agents
gate-induced-wrong-oracle	Whether feeding failing test output back to an agent pushes it toward satisfying the test over the specification: test overfitting, specification gaming under verifier feedback, and designs that keep the spec as the oracle.	ImpossibleBench arXiv 2510.20270; Sycophancy to Subterfuge arXiv 2406.10162; search arXiv for "specification gaming" coding agents and "test overfitting" program repair
base-rate-fixture-design	How to design coding tasks with a measurable failure base rate for cheap models: item difficulty estimation, benchmark saturation, hard-subset curation, and how many items a paired comparison needs at a given base rate.	SWE-bench Verified curation post (openai.com); AI Agents That Matter arXiv 2407.01502; Adding Error Bars to Evals arXiv 2411.00640
instruction-compliance-under-many-rules	How many simultaneous rules a model follows in a system prompt, how compliance degrades with rule count and prompt length, and which phrasing survives long contexts.	IFEval arXiv 2311.07911; Lost in the Middle arXiv 2307.03172; search arXiv for "multi-constraint instruction following" 2024-2026
subagent-contracts	Structured hand-offs between an orchestrator and sub-agents: typed briefs, schema-constrained reports, mandatory fields, and evidence of fewer failures when contracts are enforced.	MAST Why Do Multi-Agent LLM Systems Fail arXiv 2503.13657; MetaGPT arXiv 2308.00352; ChatDev arXiv 2307.07924
verdict-evidence-grounding	Reliability of self-reported success and LLM judges versus ground truth: calibration of PASS or DONE claims, evidence requirements that improve it, and how often a judge with no command output is wrong.	Judging LLM-as-a-judge arXiv 2306.05685; TheAgentCompany arXiv 2412.14161; search arXiv for "self-reported task completion" LLM agents calibration
mechanism-expiry	Precedents for configuration and checks that expire unless re-justified: feature toggle debt, stale flag removal, sunset clauses in policy, and measured costs of dead configuration.	Rahman et al 2016 Feature toggles practitioner practices (MSR 2016); Piranha arXiv 1908.12652; Sculley et al 2015 Hidden Technical Debt in Machine Learning Systems (NeurIPS)
hook-latency-and-cost	The cost of per-tool-call interception in agent loops: guardrail latency, injected context size, prompt-cache invalidation from changing prefixes, and the token economics of a per-prompt digest.	Anthropic prompt caching documentation (docs.anthropic.com); search arXiv for "guardrails latency" LLM and "prompt caching" cost
test-tampering-detection	Detecting and preventing agents editing tests to pass: hidden test patches, diff-based tamper checks, sandbox policies, and measured tamper rates by model.	ImpossibleBench arXiv 2510.20270; SWE-bench arXiv 2310.06770 hidden test patch design; search arXiv for "test modification" coding agents reward hacking
prompt-injection-via-tool-output	Security of context that hooks and tools inject into an agent loop: indirect prompt injection through file and command output, and defences that do not cost accuracy.	Indirect prompt injection arXiv 2302.12173; AgentDojo arXiv 2406.13352; search arXiv for "tool output injection" agents 2025-2026
planning-before-editing	Whether an explicit plan step helps coding agents on multi-file tasks: plan-and-execute versus direct editing, localisation-first pipelines, and where planning adds cost without accuracy.	Agentless arXiv 2407.01489; SWE-agent arXiv 2405.15793; Plan-and-Solve arXiv 2305.04091
paired-experiment-design	Variance reduction for agent benchmarks: pairing on task, sequential tests and stopping rules, power for binary outcomes at low base rates, and cost-controlled comparisons.	Adding Error Bars to Evals arXiv 2411.00640; AI Agents That Matter arXiv 2407.01502; Prediction-Powered Inference arXiv 2301.09633
autonomy-levels-and-confirmation	Frameworks for how much an agent should do without confirmation: levels of autonomy, irreversible-action gates, and evidence on the cost of asking versus acting.	Fully Autonomous AI Agents Should Not Be Developed arXiv 2502.02649; search arXiv for "levels of autonomy" AI agents 2025 and "human oversight" agentic systems
skill-libraries-and-retrieval	Procedural memory for agents: skill libraries, retrieval of instructions on demand versus always-loaded prompts, tool documentation effects, and the failure mode of skills that never fire.	Voyager arXiv 2305.16291; Tool Documentation Enables Zero-Shot Tool Usage arXiv 2308.00675; search arXiv for "skill library" LLM agents 2024-2026
context-compaction-effects	What context summarisation does to long agent sessions: information lost at compaction, memory architectures, and measured performance before versus after a summary boundary.	MemGPT arXiv 2310.08560; Lost in the Middle arXiv 2307.03172; search arXiv for "context compression" agents long-horizon 2025
cost-accounting-in-agent-benchmarks	How benchmarks report cost: cost per task, Pareto frontiers, cost-controlled leaderboards, and what is hidden when only accuracy is published.	AI Agents That Matter arXiv 2407.01502; Holistic Agent Leaderboard arXiv 2510.11977; search arXiv for "cost-controlled evaluation" agents
concurrent-agent-writes	Failures when several agents edit one repository: lost updates, merge conflicts, file ownership schemes, worktree isolation, and what multi-agent coding systems do about it.	MAST arXiv 2503.13657; search arXiv for "parallel coding agents" conflicts and "multi-agent software engineering" isolation 2025-2026
spec-test-contradiction	What should win when a visible test contradicts the written specification: the oracle problem, test smells and wrong tests, requirements conflict resolution, and how agents behave when the two disagree.	Barr et al 2015 The Oracle Problem in Software Testing (IEEE TSE); search arXiv for "incorrect tests" program repair and "flaky or wrong test" LLM agents
